category,path,name,size
Rural Development,financial-and-physical-performance-under-national-social-assistance-programme-during-10th-fi,Financial and Physical Performance under the National Social Assistance Programme during 10th Five Year Plan (2002 to 2007),0.001 MB
Rural Development,financial-and-physical-performance-under-poverty-alleviation-programmes-irdp-sgsy-jry-jgsy-0,Financial and Physical Performance under Poverty Alleviation Programmes IRDP SGSY JRY JGSY and EAS during Ninth Five Year Plan (1997-98 to 2001-02)- Year wise,0.001 MB
Rural Development,financial-and-physical-performance-under-poverty-alleviation-programmes-irdp-sgsy-jry-jgsy-a,Financial and Physical Performance under Poverty Alleviation Programmes IRDP SGSY JRY JGSY and EAS during 8th Five Year Plan - Yearwise (1992-93 to 1996-97),0.001 MB
Economic Survey 2012-13 - Monetary Trends,financial-assistance-sanctioned-and-disbursed-all-india-financial-institutions,Financial Assistance Sanctioned and Disbursed by All India Financial Institutions,0.04 MB
Financial Intelligence,financial-intellegence-unit-india-cooperation-domestic-and-international-law-enforcement-age,Financial Intelligence Unit India cooperation with domestic and international law enforcement agencies in 2011-12,0.026 MB
Financial Intelligence,financial-intellegence-unit-india-cooperation-domestic-and-international-law-enforcement-age.1,Financial Intelligence Unit India cooperation with domestic and international law enforcement agencies in 2011-12,0.026 MB
Rural Development,financial-outcomes-under-nrega,Financial Outcomes Under Mahatma Gandhi National Rural Employment Guarantee Act (NREGA),0.03 MB
Transport,financial-performance-air-india-ltd-during-eleventh-plan-period,Financial Performance of Air India Limited During The Eleventh Plan Period,0.017 MB
Transport,financial-performance-airports-authority-aai-india-during-eleventh-plan-period,Financial Performance of Airports Authority of India (AAI) During Eleventh Plan Period,0.017 MB
Power and Energy,financial-performance-coal-sector-twelfth-five-year-plan-document,Financial Performance of the Coal Sector- Eleventh Five Year Plan Outlay,0.019 MB
Economic Survey 2012-13 - Budgetary Transactions,financial-performance-department-posts,Financial Performance of the Department of Posts,0.03 MB
Economic Survey 2012-13 - Budgetary Transactions,financial-performance-indian-railways,Financial Performance of Indian Railways,0.03 MB
Transport,financial-performance-pawan-hans-helocopters-ltd-during-eleventh-plan-period,Financial Performance of Pawan Hans Helicopters Limited During Eleventh Plan Period,0.018 MB
General Insurance,financial-performance-public-sector-general-insurance-companies-2012-13,Financial Performance of Public Sector General Insurance Companies 2012-13,0.054 MB
Shipping Sector,financial-performance-shipping-sector-during-eleventh-five-year-plan,Financial Performance of the Shipping Sector During  Eleventh Five Year Plan,0.017 MB
SRTU - Financial,financial-performance-srtus-year-2002-03,Financial Performance of SRTUs for the year 2002-03,0.03 MB
SRTU - Financial,financial-performance-srtus-year-2003-04,Financial Performance of SRTUs for the year 2003-04,0.029 MB
SRTU - Financial,financial-performance-srtus-year-2004-05,Financial Performance of SRTUs for the year 2004-05,0.028 MB
SRTU - Financial,financial-performance-srtus-year-2005-06,Financial Performance of SRTUs for the year 2005-06,0.028 MB
SRTU - Financial,financial-performance-srtus-year-2006-07,Financial Performance of SRTUs for the year 2006-07,0.028 MB
SRTU - Financial,financial-performance-srtus-year-2007-08,Financial Performance of SRTUs for the year 2007-08,0.028 MB
SRTU - Financial,financial-performance-srtus-year-2008-09,Financial Performance of SRTUs for the year 2008-09,0.029 MB
SRTU - Financial,financial-performance-srtus-year-2009-10,Financial Performance of SRTUs for the year 2009-10,0.029 MB
SRTU - Financial,financial-performance-srtus-year-2010-11,Financial Performance of SRTUs for the year 2010-11,0.03 MB
SRTU - Financial,financial-performance-srtus-year-2011-12,Financial Performance of SRTUs for the year 2011-12,0.03 MB
Financial Data_PMGSY,financial-progress-pmgsy-31-march-2012,Financial Progress of PMGSY (as on 31 March 2012),0.017 MB
S&T - Financial Resourses,financial-progress-st-eighth-1992-97-ninth-1997-2002-and-tenth-2002-07-plan-period-st-agenci,Financial Progress in The Eighth Ninth and Tenth Plan Period For Science And Technology Agencies,0.016 MB
Indian Railways,financial-results-government-railways-2001-11,Financial Results Of Government Railways From 2001-02 to 2010-11,0.019 MB
Economic Survey 2012-13 - Budgetary Transactions,financing-central-and-state-annual-plans-2008-09-and-2009-2010,Financing for Central and State Annual Plans 2011-12 and 2012-13,0.03 MB
Live Stock and Fisheries,fish-catch-and-landings-group-species,Fish Catch and Landings By Group of Species,0.018 MB
Exchange Coinage And Currency,foreign-exchange-reserves-2000-01-2011-12,Foreign Exchange Reserves From 2000-01 To 2011-12,0.015 MB
Economic Survey 2012-13 - Balance of Payments,foreign-exchange-reserves-rs-cr,Foreign Exchange Reserves (Rs. Cr.),0.06 MB
Economic Survey 2012-13 - Balance of Payments,foreign-exchange-reserves-us-mn,Foreign Exchange Reserves (US $ Mn.),0.06 MB
Tourism Statistics,foreign-tourist-arrivals-ftas-foreign-exchange-earnings-fees-domestic-tourist-visits-dtvs,Tourism Statistics of India Since 1991,0.026 MB
Tourism,foreign-tourist-arrivals-india-top-15-source-countries-2001-2010,Foreign Tourist Arrivals In India From Top 15 Source Countries From 2001 To 2010,0.018 MB
Trade,foreign-trade-overall-trade-merchandise-and-treasure,Foreign Trade - Overall Trade In Merchandise And Treasure From 2001-02 To 2011-12,0.018 MB
Environment and Forest,forest-cover-estimates-all-india-and-state-wise,Forest Cover Estimates,0.025 MB
Environment and Forest,forest-occupancy-and-population-estimates-tigers-refined-methodology,Forest occupancy and population estimates of tigers as per the refined methodology,0.018 MB
Labour and Employment,formal-and-informal-employment-organized-and-unorganised-sector,Formal and Informal Employment in Organized and Unorganised Sectors (in Millions),0.025 MB
Members of Rajya Sabha,former-members-rajya-sabha-1952-17th-july-2013-hindi,Former Members of Rajya Sabha since 1952 as on 17th July 2013 in Hindi,0.614 MB
Members of Rajya Sabha,former-rajya-sabha-members-1952-17th-july-2013-english,Former Members of Rajya Sabha since 1952 as on 17th July 2013 in English,1.565 MB
Indian Railways,freight-yields-some-major-economies,Freight Yields In Some Major Economies,0.018 MB
Power and Energy,fuel-requirement-during-2016%E2%80%9317-energy-sector,Fuel Requirement during 2016–17 (Energy Sector),0.018 MB
S&T - Human Resourses,full-time-equivalent-manpower-employed-research-and-development-establishments-01042005,Full Time Equivalent of Manpower Employed In Research And Development Establishments As on 1st April 2005,0.023 MB
S&T - Human Resourses,full-time-equivalent-women-employed-research-and-development-establishments-0142005,Full Time Equivalent of Women Employed In Research And Development Establishments As On 1st April 2005,0.02 MB
Health and Family Welfare,funding-health-eleventh-plan-core-and-broad-health-components,Funding For Health In Eleventh Plan - Core And Broad Health Components,0.019 MB
Housing and Urban Affairs,funds-requirement%E2%80%94urban-basic-services-eleventh-plan-period,Funds Requirement - Urban Basic Services,0.016 MB
Housing and Urban Affairs,funds-requirement-city-size-wise-%E2%80%93-eleventh-five-year-plan,City Size-wise Fund Requirements During Eleventh Five Year Plan,0.016 MB
Social Development,funds-scheduled-caste-sub-plan-scsp-and-major-rural-development-schemes,Funds For Scheduled Caste Sub-Plan (SCSP) And Major Rural Development Schemes,0.013 MB
Financial Resources,gbs-allocation-tenth-and-eleventh-plans,Gross Budgetary Support Allocation in Tenth and Eleventh Plans,0.021 MB
Macro Economic Aggregates and Population,gdp-india-and-major-sectors-economy-share-each-sector-gdp-and-growth-rate-gdp-and-other-sect,GDP of India and major Sectors of Economy Share of each sector to GDP and Growth rate of GDP and other sectors of economy 1951-52 onward,0.087 MB
Union Budget 2013-14 - Expenditure Budget,gender-budget,Gender Budget,0.1 MB
Higher Education,gender-wise-enrolment-across-education-levels-age-bracket-20-years-24-years,Gender-wise Enrollment (%) Across Education Levels In Age Bracket 20 To 24 Years,0.017 MB
Higher Education,gender-wise-total-enrolment-higher-education,Gender Wise Total Enrolment In Higher Education,0.018 MB
Trade Unions,general-funds-registered-trade-unions,General Funds of Registered Trade Unions,0.03 MB
Post,general-statistics-post-offices-2000-01-2010-11,General Statistics of Post Offices From 2000-01 To 2010-11,0.021 MB
Elementary Education,ger-primary-upper-primary-and-elementary-level-2001-02-2004-05,Gross Enrollment Ratio at Primary Upper Primary and Elementary level,0.001 MB
Environment and Forest,global-average-temperature-and-atmosphere-concentration-carbon-dioxide,Global Average Temperature and Atmosphere concentration of Carbon Dioxide,0.024 MB
State Economy,goa-gross-state-domestic-product-factor-cost-constant-prices-1,Goa Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05,0.002 MB
State Economy,goa-gross-state-domestic-product-factor-cost-constant-prices-2,Goa Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94,0.003 MB
State Economy,goa-gross-state-domestic-product-factor-cost-current-prices-1,Goa Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05,0.002 MB
State Economy,goa-gross-state-domestic-product-factor-cost-current-prices-2,Goa Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94,0.003 MB
State Economy,goa-net-state-domestic-product-factor-cost-constant-prices-1,Goa Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05,0.002 MB
State Economy,goa-net-state-domestic-product-factor-cost-constant-prices-2,Goa Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94,0.003 MB
State Economy,goa-net-state-domestic-product-factor-cost-current-prices-1,Goa Net State Domestic Product at factor cost at Current Prices for the base year 2004-05,0.002 MB
State Economy,goa-net-state-domestic-product-factor-cost-current-prices-2,Goa Net State Domestic Product at factor cost at Current Prices for the base year 1993-94,0.003 MB
Health and Family Welfare,goals-and-achievements-health-sector-during-tenth-plan,Goals and Achievements for Health Sector during the Tenth Plan,0.016 MB
Health and Family Welfare,goals-tenth-plan-health-sector,Indicators and Goals for the Tenth Plan in Health Sector,0.017 MB
Companies,government-companies-limited-shares-work-31st-march-2012,Government Companies Limited By Shares At Work As On 31st March 2012 - State-wise Distribution,0.02 MB
Companies,government-companies-limited-shares-work-31st-march-2012-industrial-activity-wise,Government Companies Limited By Shares At work As On 31st March 2012 - Distribution by Industrial Activity,0.019 MB
e-Governance,granted-patent-under-deity-rd-funding,Patents Granted Under Research and Development Funding of DeitY,0.009 MB
Union Budget 2013-14 - Expenditure Budget,grants-and-loans-foreign-governments,Grants and Loans to Foreign Governments,0.04 MB
Irrigation,gross-area-under-irrigation-crops,Gross Area Under Irrigation by Crops,0.047 MB
Economic Survey 2012-13 - Agriculture,gross-area-under-major-crops,Gross Area Under Major Crops,0.03 MB
Higher Education,gross-budgetary-support-education-sector-twelfth-plan,Gross Budgetary Support For Education Sector In The Twelfth Plan,0.028 MB
Economic Survey 2012-13 - Budgetary Transactions,gross-capital-formation-budgetary-resources-central-government,Gross Capital Formation from Budgetary Resources of the Central Government,0.04 MB
Insurance,gross-direct-premium-income-public-sector-general-insurance-companies,Gross Direct Premium Income of Public Sector General Insurance Companies From 2000-01 To 2010-11,0.018 MB
National Product and Related Aggregates,gross-domestic-product-factor-cost-industry-constant-prices-2004-05-2010-11,Gross Domestic Product At Factor Cost By Industry At Constant Prices From 2004-05 To 2010-11,0.02 MB
National Product and Related Aggregates,gross-domestic-product-factor-cost-industry-current-prices-2004-05-2010-11,Gross Domestic Product At Factor Cost By Industry At Current Prices From 2004-05 To 2010-11,0.02 MB
Economic Survey 2012-13 - National Income and Production,gross-domestic-product-factor-cost-industry-origin-constant-prices,Gross Domestic Product at Factor Cost by Industry of Origin at Constant Prices,0.04 MB
Economic Survey 2012-13 - National Income and Production,gross-domestic-product-factor-cost-industry-origin-current-prices,Gross Domestic Product at Factor Cost by Industry of Origin at Current Prices,0.03 MB
Economic Survey 2012-13 - National Income and Production,gross-domestic-savings-and-gross-domestic-capital-formation,Gross Domestic Savings and Gross Domestic Capital Formation,0.08 MB
Economic Survey 2012-13 - National Income and Production,gross-domestic-savings-and-gross-domestic-capital-formation-cent-gdp-current-market-prices,Gross Domestic Savings and Gross Domestic Capital Formation As per cent of GDP at Current market Prices,0.08 MB
Rural Development,gross-enrollment-dropout-primary-stage-i-v-social-groups-2004-05,Gross Enrollment Dropout at Primary Stage (I-V) by Social Groups 2004-05,0.001 MB
Higher Education,gross-enrolment-higher-education-2007-08-2009-10-higher-education-and-distance-education-cat,Gross Enrolment For Higher Education And Distance Education From 2007-08 To 2009-10,0.019 MB
Economic Survey 2012-13 - Human Development Indicators,gross-enrolment-ratio-classes-i-v-and-vi-viii-and-i-viii,Gross Enrolment Ratio in Classes I-V VI-VIII and I-VIII,0.03 MB
Education,gross-enrolment-ratio-ger-secondary-education-social-groups-2009-10,Gross Enrolment Ratio (GER) For Secondary Education By Social Groups (2009-10),0.019 MB
Education,gross-enrolment-ratio-ger-secondary-education-states-select-countries-high-low-ger-states-in,Gross Enrolment Ratio (GER) For Secondary Education ( High/ Low GER States And International Comparisons),0.019 MB
Financial Resources,gross-fiscal-deficit-eleventh-plan-based-mid-term-review-2007-08,Gross Fiscal Deficit - Eleventh Plan based on Mid-Term Review 2007-08,0.021 MB
Financial Resources,gross-fiscal-deficit-eleventh-plan-based-mid-term-review-2007-08-0,Gross Fiscal Deficit - Eleventh Plan based on Mid-Term Review 2007-08,0.021 MB
Energy,gross-generation-electricity-utilities-and-non-utilities,Gross Generation of Electricity in Utilities and Non-Utilities,0.02 MB
Irrigation,gross-irrigated-area,Gross Irrigated Area,0.033 MB
Economic Survey 2012-13 - National Income and Production,gross-national-product-and-net-national-product,Gross National Product and Net National Product,0.05 MB
Indian Railways,gross-traffic-earnings-indian-railways,Gross Traffic Earnings Of Indian Railways From 2001-02 To 2010-11,0.017 MB
Labour and Employment,group-wise-estimated-number-central-government-civilian-regular-employees,Group-Wise Estimated Number Of Central Government Civilian Regular Employees.,0.026 MB
Higher Education,growth-central-institutions-during-eleventh-plan,Growth Of Central Institutions During The Eleventh Plan,0.026 MB
Economic Survey 2012-13 - Industry and Infrastructure,growth-civil-aviation,Growth of Civil Aviation,0.02 MB
Higher Education,growth-different-kinds-colleges-polytechnics-basd-art-medical-engineering-and-technical-cour,Growth Of Different Kinds Of Colleges And Polytechnics Basd On Art Medical Engineering And Technical Courses 2006-07 To 2009-10,0.018 MB
Higher Education,growth-different-universities-and-colleges-2005-onward,Growth Of Different Universities And Colleges From 2005 to 2011,0.018 MB
Higher Education,growth-different-universities-and-colleges-2007-08-2011-12,Growth Of Different Universities And Colleges For The Period 2007-08 And 2011-12,0.018 MB
Higher Education,growth-enrolment-open-and-distance-learning-odl-programmes-eleventh-plan,Growth of Enrolment in Open and Distance Learning (ODL) Programmes in the Eleventh Plan,0.026 MB
Higher Education,growth-higher-education-enrolment-field-study-during-eleventh-plan,Growth Of Higher Education Enrolment By Field Of Study During The Eleventh Plan,0.026 MB
Higher Education,growth-higher-education-enrolment-institutions-xi-plan,Growth Of Higher Education Enrolment By Institutions In XI Plan,0.026 MB
Higher Education,growth-higher-education-institutes-eleventh-plan,Growth Of Higher Education Institutes In The Eleventh Plan,0.026 MB
Higher Education,growth-higher-education-system,Growth of Higher Education System,0.014 MB
Higher Education,growth-institutions-and-their-enrolment-eleventh-plan,Growth Of Institutions And Their Enrolment In The Eleventh Plan,0.02 MB
Statistics,growth-mpceurp-current-and-constant-prices-1993-94,Growth in MPCE(URP) at current and constant prices since 1993-94,0.001 MB
Insurance,growth-postal-life-insurance-and-rural-postal-life-insurance-2001-02-2011-12,Growth of Postal Life Insurance And Rural Postal Life Insurance From 2001-02 To 2011-12,0.022 MB
Transport,growth-projections-twelfth-five-year-plan-passenger-and-cargo-traffic-forecasts-indian-air-0,Growth Projections for the Twelfth Five Year Plan (2012-17): Passenger and Cargo Traffic Forecasts for Indian Airports,0.022 MB
Passenger and Cargo Traffic,growth-projections-twelfth-five-year-plan-passenger-and-cargo-traffic-forecasts-indian-airpo,Growth Projections for Passenger and Cargo Traffic Forecasts for Indian Airports,0.018 MB
Housing and Urban Affairs,growth-urban-population,Growth Of Urban Population,0.016 MB
State Economy,gujarat-gross-state-domestic-product-factor-cost-constant-prices-1,Gujarat Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05,0.003 MB
State Economy,gujarat-gross-state-domestic-product-factor-cost-constant-prices-2,Gujarat Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94,0.003 MB
State Economy,gujarat-gross-state-domestic-product-factor-cost-current-prices-1,Gujarat Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05,0.003 MB
State Economy,gujarat-gross-state-domestic-product-factor-cost-current-prices-2,Gujarat Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94,0.003 MB
State Economy,gujarat-net-state-domestic-product-factor-cost-constant-prices-1,Gujarat Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05,0.002 MB
State Economy,gujarat-net-state-domestic-product-factor-cost-constant-prices-2,Gujarat Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94,0.003 MB
State Economy,gujarat-net-state-domestic-product-factor-cost-current-prices-1,Gujarat Net State Domestic Product at factor cost at Current Prices for the base year 2004-05,0.003 MB
State Economy,gujarat-net-state-domestic-product-factor-cost-current-prices-2,Gujarat Net State Domestic Product at factor cost at Current Prices for the base year 1993-94,0.003 MB
Bharat Nirman (Habitation Coverage),habitation-coverage-bharat-nirman,Habitation Coverage-Bharat Nirman,0.017 MB
State Economy,haryana-gross-state-domestic-product-factor-cost-constant-prices-1,Haryana Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05,0.002 MB
State Economy,haryana-gross-state-domestic-product-factor-cost-constant-prices-2,Haryana Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94,0.003 MB
State Economy,haryana-gross-state-domestic-product-factor-cost-current-prices-1,Haryana Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05,0.002 MB
State Economy,haryana-gross-state-domestic-product-factor-cost-current-prices-2,Haryana Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94,0.003 MB
State Economy,haryana-net-state-domestic-product-factor-cost-constant-prices-1,Haryana Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05,0.002 MB
State Economy,haryana-net-state-domestic-product-factor-cost-constant-prices-2,Haryana Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94,0.003 MB
State Economy,haryana-net-state-domestic-product-factor-cost-current-prices-1,Haryana Net State Domestic Product at factor cost at Current Prices for the base year 2004-05,0.002 MB
State Economy,haryana-net-state-domestic-product-factor-cost-current-prices-2,Haryana Net State Domestic Product at factor cost at Current Prices for the base year 1993-94,0.003 MB
Pollution,hazardous-waste-contaminated-dump-sites,Hazardous Waste Contaminated Dump Sites,0.023 MB
Rural Development,headcount-ratio-and-number-poor-persons-below-poverty-line-india-combined-rural-and-urban-bo,Headcount Ratio and Number of Poor Persons Below Poverty Line in India (Combined Rural and Urban Both),0.002 MB
Rural Development,headcount-ratio-and-number-poor-persons-below-poverty-line-rural-india,Headcount Ratio and Number of Poor Persons Below Poverty Line in Rural India,0.002 MB
Urban Development,headcount-ratio-and-number-poor-persons-below-poverty-line-urban-india,Headcount Ratio and Number of Poor Persons Below Poverty Line in Urban India,0.002 MB
Health and Family Welfare,health%E2%80%94state-plan-outlays-and-expenditure-state-wise,State-wise Plan Outlays and Expenditure on Health,0.021 MB
Health and Family Welfare,health-and-nutrition-indicators-social-groups-2005-06-nfhs-3,Health and Nutrition Indicators by Social Groups in 2005-06 (NFHS-3),0.001 MB
Health and Family Welfare,health-and-nutrition-indicators-social-groups-2005-06-nfhs-3-0,Health and Nutrition Indicators by Social Groups,0.001 MB
Health and Family Welfare,health-indicators-among-selected-countries-during-eleventh-plan,Health Indicators among Selected Countries during Eleventh Plan,0.017 MB
Health and Family Welfare,health-indices-various-social-groups,Health Indices of Various Social Groups from National Health Policy 2002,0.015 MB
Rural Health Statistics,health-worker-female-anm-sub-centres-phcs-march-2011,Manpower at Sub-Centres and Primary Health Centres as on March 2011,0.025 MB
DRDO Product,high-precision-aircraft-bearings-light-combat-aircraft-tejas,Power Take-off Shaft  for LIGHT COMBAT AIRCRAFT-TEJAS,0.018 MB
DRDO Product,high-precision-aircraft-bearings-light-combat-aircraft-tejas-0,High Precision Aircraft Bearings for LIGHT COMBAT AIRCRAFT- TEJAS,0.019 MB
Higher Education,higher-education-enrolment-targets-leveltype-twelfth-plan,Higher Education Enrolment Targets by Level/Type for the 12th Plan,0.026 MB
State Economy,himachal-pradesh-gross-state-domestic-product-factor-cost-constant-prices-1,Himachal Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05,0.003 MB
State Economy,himachal-pradesh-gross-state-domestic-product-factor-cost-constant-prices-2,Himachal Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94,0.003 MB
State Economy,himachal-pradesh-gross-state-domestic-product-factor-cost-current-prices-1,Himachal Pradesh Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05,0.003 MB
State Economy,himachal-pradesh-gross-state-domestic-product-factor-cost-current-prices-2,Himachal Pradesh Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94,0.003 MB
State Economy,himachal-pradesh-net-state-domestic-product-factor-cost-constant-prices-1,Himachal Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05,0.003 MB
State Economy,himachal-pradesh-net-state-domestic-product-factor-cost-constant-prices-2,Himachal Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94,0.003 MB
State Economy,himachal-pradesh-net-state-domestic-product-factor-cost-current-prices-1,Himachal Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 2004-05,0.003 MB
State Economy,himachal-pradesh-net-state-domestic-product-factor-cost-current-prices-2,Himachal Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 1993-94,0.003 MB
Horticulture,horticultural-crops-varitiescentral-release2005-09,Horticultural Crops Varieties Central Release (2005-09),0.035 MB
Horticulture,horticulture-crops-varities,Horticulture Crops Varieties,0.046 MB
Health and Family Welfare,hospitals-and-bed-strength-under-ayush-systems-1st-april,Hospitals And Bed Strength Under Ayush Systems As On 1st April,0.037 MB
Power and Energy,household-access,Household Access To Energy Data For Census 2011,0.012 MB
National Sample Survey,household-consumer-expenditure,Household Consumer Expenditure NSS 38th Round : January-December 1983,0 MB
National Sample Survey,household-consumer-expenditure-0,Household Consumer Expenditure NSS 43rd Round :July 1987 - June 1988,0 MB
National Sample Survey,household-consumer-expenditure-10,Household Consumer Expenditure NSS 53th Round : Jan - Dec 1997,0 MB
National Sample Survey,household-consumer-expenditure-11,Household Consumer Expenditure NSS 57th Round : July 2001 - June 2002,0 MB
National Sample Survey,household-consumer-expenditure-13,Household Consumer Expenditure NSS 59th Round : Jan 2003 - Dec 2003,0 MB
National Sample Survey,household-consumer-expenditure-14,Household Consumer Expenditure NSS 62nd Round : July 2005 - June 2006,0 MB
National Sample Survey,household-consumer-expenditure-15,Household Consumer Expenditure NSS 63rd Round : July 2006 - June 2007,0 MB
National Sample Survey,household-consumer-expenditure-3,Household Consumer Expenditure NSS 47th Round : July - Dec 1991,0 MB
National Sample Survey,household-consumer-expenditure-5,Household Consumer Expenditure NSS 49th Round :Jan - June 1993,0 MB
National Sample Survey,household-consumer-expenditure-6,Household Consumer Expenditure NSS 50th Round : July 1993 - June 1994,0 MB
National Sample Survey,household-consumer-expenditure-64th-round,Household Consumer Expenditure 64th Round,0 MB
National Sample Survey,household-consumer-expenditure-66th-round,Household Consumer Expenditure NSS 46th Round : July 1990 - Jun1991,0 MB
National Sample Survey,household-consumer-expenditure-66th-round-0,Household Consumer Expenditure 66th Round,0 MB
National Sample Survey,household-consumer-expenditure-7,Household Consumer Expenditure NSS 51th Round : July 1994 - June 1995 NSS 51st Round,0 MB
Economic Survey 2012-13 - Human Development Indicators,households-access-safe-drinking-water,Household's access to safe drinking water,0.03 MB
National Sample Survey,housing-condition-survey-nss-58th-round-july-december-2002,Housing Condition Survey: NSS 58th Round : July - December 2002,0 MB
DRDO Product,hydraulic-lubrication-filters,Hydraulic and Lubrication Filters for Combat Vehicles from DRDO,0.019 MB
Mines,ibm-administration-mineral-conservation-and-development-rules-1988,Administration Of Mineral Conservation And Development Rules 1988,0.02 MB
Mines,ibm-area-wise-status-mining-lease-distribution-frequency-hect-31032011,Area wise status of Mining Lease distribution (Frequency in Hect),0.019 MB
Mines,ibm-exports-metals-and-alloys-2008-09-2010-11,Exports Of Metals And Alloys From 2008-09 To 2010-11,0.026 MB
Mines,ibm-exports-ores-and-minerals-2008-09-2010-11-excluding-fuel-atomic-and-minor-minerals,Export Of Ores And Minerals From 2008-09 To 2010-11,0.033 MB
Mines,ibm-imports-metals-and-alloys-2008-09-2010-11,Imports Of Metals And Alloys From 2008-09 To 2010-11,0.026 MB
Mines,ibm-mineralwise-statewise-resources-reserves-142010-excluding-fuel-atomic-and-minor-minerals,Mineral and State wise Resources Reserves As On 1st April 2010,0.082 MB
Mines,ibm-mineralwise-summary-mining-lease-distribution-31032011-excluding-fuel-atomic-and-minor-m,Mineral-wise Summary Of Mining Lease Distribution,0.026 MB
Minerals,ibm-production-and-value-mcdr-minerals-during-2007-08-2011-12-excluding-fuel-atomic-and-mino,Production and Value of  Minerals during 2007-08 to 2011-12,0.068 MB
Minerals,ibm-production-and-value-mcdr-minerals-during-2007-08-2011-12-excluding-fuel-atomic-and-mino.1,Production and Value of  Minerals during 2007-08 to 2011-12,0.068 MB
Mines,ibm-statewise-registration-under-rule-45-mcdr-1988-20032013,Status Of State-wise Registration Under Rule 45 Of MCDR 1988 As On 20th March 2013,0.019 MB
Mines,ibm-statewise-summary-mining-lease-distribution-31032011-excluding-fuel-atomic-and-minor-min,Statewise Summary Of Mining Lease Distribution As On 31st March 2011,0.017 MB
ICAR,icar-institutes-list,ICAR Institutes List,0.062 MB
DRDO Product,image-intensification-based-devices,Image Intensification Based Devices from DRDO,0.026 MB
Health,immunization-status-children-12-23-months,Immunization Status of Children (12-23 months),0.024 MB
Health,impact-icds-colostrums-feeding,Impact of ICDS on Colostrums Feeding,0.023 MB
Health,impact-icds-enrolment-and-discontinuation-children-aged-7-14-years-primary-and-post-primary-,Impact of ICDS on enrolment of and discontinuation by children aged 7-14 years in primary and post-primary education,0.023 MB
Health,impact-icds-immunisation-status-children-12-23-months,Impact of ICDS on immunisation Status of Children (12-23 months),0.023 MB
Health,impact-icds-nutritional-status-children-aged-7-months-60-months,Impact of ICDS on nutritional status of children aged 7 months-60 months,0.023 MB
Health,impact-icds-practice-child-getting-weighed-birth,Impact of ICDS on the practice of a child getting weighed at birth,0.023 MB
Rural Development,implementation-report-under-nrega,Implementation Report Under Mahatma Gandhi National Rural Employment Guarantee Act (MNREGA),0.029 MB
Import Export,import-export-classification-itchs-and-import-policy,Import Export Classification ITC (HS) Code And Import Policy 2012,1.9 MB
Chemicals and Petrochemicals,import-major-chemicals-product-wise-group-wise-2006-07-2011-12,Import of Major Chemicals - Product-wise / Group-wise from 2006-07 to 2011-12,0.025 MB
Chemicals and Petrochemicals,import-major-chemicals-product-wise-group-wise-2006-07-2012-13,Import of Major Chemicals - Product-wise / Group-wise From 2006-07 To 2012-13,0.033 MB
Chemicals and Petrochemicals,import-major-petrochemicals-product-wise-group-wise-2006-07-2011-12,Import of Major Petrochemicals - Product wise / Group wise from 2006-07 to 2011-12,0.026 MB
Chemicals and Petrochemicals,import-major-petrochemicals-product-wise-group-wise-2006-07-2012-13,Import of Major Petrochemicals - Product wise / Group wise From 2006-07 To 2012-13,0.035 MB
PNG Economic and Statistics,importexport-crude-oil-and-petroeum-products-2004-12,Import/Export of Crude Oil and Petroleum Products: 2004-12,0.027 MB
PNG Economic and Statistics,imports-exports-crude-oil-and-petroleum-products-during-2006-07-2011-12,Imports / Exports of Crude Oil And Petroleum Products During 2006-07 To 2011-12,0.023 MB
Education,improvements-literacy-levels-1981-2011,Improvements in Literacy Levels from 1981 to 2011,0.018 MB
Household,incidence-indebtedness-social-group-during-eleventh-plan,Incidence of Indebtedness by Social Group during Eleventh Plan,0.001 MB
Live Stock and Fisheries,incidence-livestock-diseases-india-2005-11,Incidence of Livestock Diseases In India: 2005-11,0.029 MB
